ID,DESCRIPTION,Attribut1,Additional Feature,Application,Characteristic,Temp,Height,Length in mm,Rating,Material,Code,Joule-integral-Nom (J),LC Risk,Maximum AC Voltage Rating,Maximum DC Voltage Rating,Maximum Power Dissipation,Mounting,Mounting Feature,Number of Terminals,Rated Breaking Capacity (A)
A1,"Indicator Red Fast Movement 1.6A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 1.6A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Primary Protection In Equipment,VERY FAST,NA,20mm,5.2mm,1.6A,Ceramic,NA,0.755J,Low,250V,NA,4W,Holder,INLINE/HOLDER,2,1500A
A2,"Non Resettable Indicators Electric Indicator, Very Fast Blow, 6.3A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",NA,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Primary Protection In Equipment,VERY FAST,NA,20mm,5.2mm,6.3A,Ceramic,e2,36.7J,Low,250VAC,NA,NA,Holder,INLINE/HOLDER,2,1500A
A3,"Indicator Red Fast Movement 8A 250V Holder Plastic 5 X 20mm Ceramic Box KC/PSE/VDE/cULus Electric Indicator, Very Fast Blow, 8A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Primary Protection In Equipment,VERY FAST,NA,20mm,5.2mm,8A,Ceramic,e2,81.9J,Low,250V,NA,4W,Holder,INLINE/HOLDER,2,1500A
A4,"Non Resettable Indicators Electric Indicator, Very Fast Blow, 10A, 250VAC, 1500A (IR), Inline/holder, 5x20mm",NA,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Primary Protection In Equipment,VERY FAST,NA,20mm,5.2mm,10A,Ceramic,e2,141J,Low,250VAC,NA,NA,Holder,INLINE/HOLDER,2,1500A
A5,"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Box PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm",Fast,RATED BREAKING CAPACITY AT 250 VAC: 500 A,Primary Protection In Equipment,VERY FAST,NA,20mm,5.2mm,12.5A,Ceramic,NA,203J,Low,250V,NA,6.9(Typ)W,Holder,INLINE/HOLDER,2,500A
A6,"Indicator Red Fast Movement 12.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk PSE/cULus Electric Indicator, Very Fast Blow, 12.5A, 250VAC, 500A (IR), Inline/holder, 5x20mm",Fast,RATED BREAKING CAPACITY AT 250 VAC: 500 A,Primary Protection In Equipment,VERY FAST,NA,20mm,5.2mm,12.5A,Ceramic,NA,203J,Low,250V,NA,6.9(Typ)W,Holder,INLINE/HOLDER,2,500A
A7,"Indicator Red Fast Movement 20A 250V Holder Plastic 6.3 X 32mm Glass Box Electric Indicator, Very Fast Blow, 20A, 250VAC, 1000A (IR), H, Inline/holder",Fast,RATED BREAKING CAPACITY AT 250 VAC: 1000 A,Industrial Electronic,VERY FAST,NA,31.8mm,6.35mm,20A,Glass,NA,846J,Low,250V,NA,11.5(Typ)W,Holder,INLINE/HOLDER,2,1000A
A8,"Slow Blow, Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply, 1.25A, Ceramic, 5 X 20mm, 5.4W",Slow Blow,NA,Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply,NA,NA,5,20,1.25A,Ceramic,NA,NA,NA,NA,NA,5.4W,NA,NA,2,NA
A9,"Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic Box CCC/CSA/PSE/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply,TIME LAG,NA,20mm,5.2mm,1A,Ceramic,NA,1.1J,Low,250V,300V,2.5W,Holder,INLINE/HOLDER,2,1500A
A10,"Non Resettable Indicators Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",NA,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply,TIME LAG,NA,20mm,5.2mm,2A,Ceramic,NA,9.2J,Low,250VAC,300VDC,NA,Holder,INLINE/HOLDER,2,1500A
A11,"Indicator Red Slow Blow Movement 2A 250V Axial 5 X 20mm Ceramic T/R cULus Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Through Hole",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Primary Protection on PCB|Power Supply Adapter for laptop|Switching Mode Power Supply,TIME LAG,NA,22.5mm,5.4mm,2A,Ceramic,e3,9.2J,Low,250V,300V,2.5W,Through Hole,THROUGH HOLE,2,1500A
A12,"Red Indicator, 5 X 20 mm Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",NA,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,NA,TIME LAG,NA,20mm,5.2mm,2.5A,NA,NA,11.7J,Low,250VAC,300VDC,NA,NA,INLINE/HOLDER,2,1500A
A13,"Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk CCC/CSA/PSE/UL/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply,TIME LAG,NA,20mm,5.2mm,2.5A,Ceramic,e2,11.7J,Low,250V,300V,2.5W,Holder,INLINE/HOLDER,2,1500A
A14,"Indicator Red Slow Blow Movement 3.15A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CSA/PSE/UL/VDE/cULus Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply,TIME LAG,NA,20mm,5.2mm,3.15A,Ceramic,e2,33.7J,Low,250V,300V,4W,Holder,INLINE/HOLDER,2,1500A
A15,"Non Resettable Indicators Electric Indicator, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",NA,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply,TIME LAG,NA,20mm,5.2mm,4A,Ceramic,NA,62.4J,Low,250VAC,150VDC,NA,Holder,INLINE/HOLDER,2,1500A
A16,"Non Resettable Indicators Electric Indicator, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",NA,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,NA,TIME LAG,NA,20mm,5.2mm,5A,NA,NA,97.5J,Low,250VAC,150VDC,NA,Holder,INLINE/HOLDER,2,1500A
A17,"Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk CCC/PSE/cULus Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply,TIME LAG,NA,20mm,5.2mm,6.3A,Ceramic,e2,171J,Low,250V,150V,4W,Holder,INLINE/HOLDER,2,1500A
A18,"Slow Blow, Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply, 8A, Ceramic, 5 X 20mm, 250V, 150V, 4W, Holder, 2.0, 5.2mm, 20mm",Slow Blow,NA,Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply,NA,NA,5,20,8A,Ceramic,NA,NA,NA,250V,150V,4W,Holder,NA,2,NA
A19,"Indicator Red Slow Blow Movement 8A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk KC/PSE/VDE/cULus Electric Indicator, Time Lag Blow, 8A, 250VAC, 150VDC, 1000A (IR), Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply,TIME LAG,NA,20mm,5.2mm,8A,Ceramic,e2,268J,Low,250V,150V,4W,Holder,INLINE/HOLDER,2,1000A
