Original Part,Alternative Part,Similarity Score
A1,A253,0.894
A1,A254,0.8721
A1,A3,0.8676
A1,A92,0.8239
A1,A97,0.8197
A2,A4,0.9477
A2,A16,0.8632
A2,A15,0.8585
A2,A10,0.8409
A2,A99,0.8113
A3,A246,0.8986
A3,A81,0.8946
A3,A93,0.8768
A3,A1,0.8676
A3,A247,0.8627
A4,A2,0.9477
A4,A16,0.8588
A4,A15,0.8529
A4,A10,0.8342
A4,A99,0.8069
A5,A6,0.9637
A5,A267,0.8978
A5,A57,0.8039
A5,A3,0.8027
A5,A1,0.8016
A6,A5,0.9637
A6,A267,0.9166
A6,A57,0.808
A6,A255,0.8032
A6,A56,0.7884
A7,A115,0.8694
A7,A82,0.8052
A7,A23,0.7977
A7,A114,0.767
A7,A22,0.765
A8,A21,0.8438
A8,A18,0.7557
A8,A966,0.4985
A8,A103,0.4765
A8,A240,0.4728
A9,A26,0.9136
A9,A24,0.8903
A9,A13,0.8845
A9,A14,0.8531
A9,A37,0.8528
A10,A16,0.9114
A10,A15,0.9079
A10,A99,0.844
A10,A2,0.8409
A10,A4,0.8342
A11,A34,0.8457
A11,A32,0.7939
A11,A107,0.7825
A11,A37,0.78
A11,A26,0.7732
A12,A111,0.7999
A12,A10,0.7672
A12,A91,0.7535
A12,A36,0.7451
A12,A13,0.7434
A13,A37,0.8993
A13,A14,0.8935
A13,A9,0.8845
A13,A35,0.8728
A13,A17,0.8642
A14,A40,0.9049
A14,A13,0.8935
A14,A38,0.8811
A14,A9,0.8531
A14,A324,0.8373
A15,A16,0.9671
A15,A10,0.9079
A15,A99,0.8867
A15,A2,0.8585
A15,A4,0.8529
A16,A15,0.9671
A16,A10,0.9114
A16,A2,0.8632
A16,A4,0.8588
A16,A99,0.8517
A17,A49,0.9059
A17,A47,0.8849
A17,A241,0.8753
A17,A13,0.8642
A17,A19,0.8408
A18,A21,0.8432
A18,A8,0.7557
A18,A103,0.6156
A18,A240,0.6078
A18,A238,0.6018
A19,A52,0.9105
A19,A50,0.8858
A19,A17,0.8408
A19,A3,0.8359
A19,A55,0.8259
A20,A59,0.897
A20,A60,0.897
A20,A58,0.8787
A20,A112,0.8561
A20,A9,0.8338
A21,A8,0.8438
A21,A18,0.8432
A21,A240,0.6081
A21,A103,0.5814
A21,A238,0.5811
A22,A82,0.8768
A22,A23,0.8614
A22,A110,0.8502
A22,A114,0.8427
A22,A100,0.8367
A23,A22,0.8614
A23,A112,0.859
A23,A20,0.8272
A23,A114,0.8249
A23,A115,0.8046
A24,A26,0.9509
A24,A35,0.9335
A24,A32,0.9303
A24,A27,0.919
A24,A30,0.9132
A25,A36,0.9571
A25,A33,0.9503
A25,A28,0.9463
A25,A39,0.9368
A25,A45,0.8805
A26,A24,0.9509
A26,A37,0.9277
A26,A34,0.9229
A26,A9,0.9136
A26,A29,0.9122
A27,A29,0.9502
A27,A35,0.9404
A27,A30,0.9237
A27,A32,0.9198
A27,A24,0.919
A28,A36,0.9557
A28,A25,0.9463
A28,A33,0.9458
A28,A39,0.9361
A28,A45,0.8785
A29,A27,0.9502
A29,A37,0.9335
A29,A31,0.9154
A29,A34,0.9127
A29,A26,0.9122
A30,A31,0.9524
A30,A35,0.9343
A30,A27,0.9237
A30,A32,0.9146
A30,A24,0.9132
A31,A30,0.9524
A31,A37,0.9269
A31,A29,0.9154
A31,A34,0.907
A31,A26,0.906
A32,A34,0.9479
A32,A35,0.9393
A32,A24,0.9303
A32,A27,0.9198
A32,A30,0.9146
A33,A36,0.9581
A33,A25,0.9503
A33,A28,0.9458
A33,A39,0.9368
A33,A45,0.8803
A34,A32,0.9479
A34,A37,0.9334
A34,A26,0.9229
A34,A29,0.9127
A34,A31,0.907
A35,A37,0.9466
A35,A44,0.9449
A35,A27,0.9404
A35,A32,0.9393
A35,A30,0.9343
A36,A33,0.9581
A36,A25,0.9571
A36,A28,0.9557
A36,A39,0.9471
A36,A45,0.9195
A37,A35,0.9466
A37,A46,0.9398
A37,A29,0.9335
A37,A34,0.9334
A37,A26,0.9277
A38,A40,0.9529
A38,A35,0.9273
A38,A27,0.9145
A38,A32,0.9096
A38,A30,0.9086
A39,A36,0.9471
A39,A25,0.9368
A39,A33,0.9368
A39,A28,0.9361
A39,A45,0.872
A40,A38,0.9529
A40,A37,0.9193
A40,A29,0.9054
A40,A14,0.9049
